model,train_accuracy,test_accuracy,gap_train_test,precision_weighted,recall_weighted,f1_weighted,fit_status
Logistic Regression,1.0,1.0,0.0,1.0,1.0,1.0,Model stabil
Gaussian Naive Bayes,0.9904,0.9923,-0.0019,0.9924,0.9923,0.9922,Model stabil
